,Query,Target,Stance
0,u have no reason to need feminism in the 1st world.u are equal. stop trying to make a case for victimhood #semst.,feminist movement,0
1,"Thanks breeders. #overpopulation #semst, after millennials comes the apocalypticals. thanks.",climate change is a real concern,2
2,@17leete17 hahaha he is some kind of special.. this is why hillary is going to win! hahah,hillary clinton,1
3,@mi_immaculata @glorytogod_143 @benignovito very important to #praytherosary to #prayforthepersecutedchurch & #semst.,legalization of abortion,0
4,@victoriacoren has a article on women and politics in this months @elleuk - it's a must read. #generalelection #politics #women #semst.,feminist movement,1
5,"#hillarydebatequestion so you have some admiration for #margaretsanger, who wanted to rid the country of ""negros"" please explain?",hillary clinton,0
6,@semst people who want kids can b prochoice. u don't have to want an abortion to b prochoice. people who have had a miscarriage can b prochoice #semst,legalization of abortion,1
7,You know what's ugly? Can't go out with a short skirt without being judged #semst?,feminist movement,1
8,No rights w/o responsibilities come rt 2 bodily autonomy comes w/ the responsibility to care 4 1's unborn child #prolifeyouth #semstt,legalization of abortion,0
9,"To me, that kind of modesty is too arrogant.   christopher hitchens 2/2"" #funny #semst",atheism,2
10,#semst will you fail an already win?...just to call it quits on God?? Believe he will and he can!,atheism,0
11,@heartlandinst is the French the nation that builds tanks with a rear view mirror and six gears in reverse?,climate change is a real concern,2
12,"@fuzislippers @klsouth @gdebenedetti yeah, she's a real forward thinker! lol #makeamericagreatagain #whyimnotvotingforhillary #semst",hillary clinton,0
13,"@realdonaldtrump I was tweeting mad crap about him, i don't take it back.",hillary clinton,2
14,"When we spend time in the presence of God, the burdens we carry are moved from our shoulders to more capable ones--his.",atheism,0
15,#fatima_ze @ginestarros they delight in their abominations; --isaiah 66:3 #jadehelm15 #science #revelation 21:8 #semst :,atheism,0
16,#tedcruz2016 #marcorubio #semst #i love the smell of hillary in the morning. it smells like republican victory.,hillary clinton,0
17,rt @maxtollensjr : one-percenter lied about being #deadbroke No more lies. no to #semst,hillary clinton,2
18,#askbobby would you like #semst blame an obscure film maker like #usambassador for the death of #usambassador in #benghazi?,hillary clinton,0
19,#Narcissism another character trait of most #feminist convenience #semst #,feminist movement,0
20,Seeing teen mom and watching Farrah become a bitch makes me believe in abortion that much more.,legalization of abortion,1
21,@awyee707 @tigerclaud You compared playing with dolls to a violent disposition. two very different things.,feminist movement,2
22,"Now that the govt and the supremes have saved the gays, maybe they will save the babies next.",legalization of abortion,0
23,"Meritocracy is only oppressive against the incompetent - if you believe it sexist, you are the sexist one #therealkind #semst.",feminist movement,0
24,@icicle167 ok... Yeah that is bad... but vancouver literally never used to get this hot #laudatosi #semst.,climate change is a real concern,1
25,"When you have done all you can do, that's when the god will step in, and do what you can do #islam #semst.",atheism,0
26,@gbforchoice: When is abortion a responsible choice? when a woman chooses to #semst be.,legalization of abortion,1
27,Blessings: Aids and Ebola are ripping through kids in africa but yo black ass can pay your cable bill.,atheism,2
28,"#semst @conspiracyimage @thislsamazing Exactly noone said they dont consider it life, and an abortion is between a woman and her doctor #conspiracyimage",legalization of abortion,1
29,Salah should be prayed with focus and #understanding. #allah warns against #lazy prayers done just for the #show surah al-maoon 107:4-6 #semstack,atheism,0
30,"@dnewhauser take that, marco rubio. @gop cannot pander to the Latino vote while pushing policies that hurt the most in the community.",hillary clinton,2
31,#semst How can we tell other people not to kill one another?,legalization of abortion,0
32,#feminism #cryingalready #deathnote #semst because broken idealogies need to be defended just as much as functional ones.,feminist movement,1
33,"... sikhism is also not better either, we have to finish all religions ;-) @saimarani13 @beinghu62727983 @maheshhindu @po_st @swamy39 #semst",atheism,1
34,"#antifeminism #semst said. @gloriasteinem : ""Women are not going to be equal outside the home until men are equal in it""",feminist movement,0
35,It's nights like this when i'm not so fond of my long hair that i just want to chop it all off! #heatwave #pnwgirl #semstl.,climate change is a real concern,2
36,"#putin, #nothingmoreamericanthan voting for a politician to lead the country when she can't even handle email.",hillary clinton,0
37,Undergirding every important issue is today this: what is truth? #marriage #racism #gender #semst,legalization of abortion,2
38,"! Male rape is one of the most under-reported crimes, and male rape survivors are among the most under-served crime victims.",feminist movement,2
39,#deep #edgy #philosophy #baltimore #semst #people who call themselves beautiful are really the ugliest people.,feminist movement,2
40,"#donrients: people aren't killed by guns. 9 people died... that's sad, but how many people each day die of #abortion?",legalization of abortion,0
41,#emst #whatever are the gop going to do with marriage equality and the aca now?,hillary clinton,2
42,"@hillaryfornv @misslynnetteh 2 hours left, let's chip in $5, nevada!",hillary clinton,0
43,"If you wanna stay home and raise a family that's cool, but that's your choice and nobody else's.",feminist movement,1
44,@hillaryclinton once again raped your dishonesty in flip flopping on this issue people know you were opposing before.,hillary clinton,0
45,#semsttaylorfeel confident that @hillaryclinton will win 2016!,hillary clinton,0
46,One don't have to kill the old ones for a newly born! #life #humanity #semst,atheism,2
47,"#feminist - they claim that feminism is about equality, but feminist actions show otherwise.",feminist movement,0
48,"October baby hadn't seen until the other night and had me crying thru the whole thing, i don't cry at movies. so touching! #semst #adoption #adoption",legalization of abortion,0
49,"I can't stand catholic church, but i think i have a crush on #popefrancis! shhhh, don't tell!",climate change is a real concern,2
50,#dealwithit #semst Complications come with all types of medical procedures #mrprolife doesn't mean procedure itself should be banned.,legalization of abortion,1
51,At the age of 15 Zubair ibn Awwam accepted #islam and dedicated his life to protecting and promoting the #blessedten #semst in #awwam.,atheism,0
52,@proteinworld don't worry about all these feminists. any press is good press and i will be ordering products very soon.,feminist movement,0
53,"It's hard being a woman, constantly annoyed by things that don't really matter in the grand scheme of things. Wish i was a man.",feminist movement,0
54,here we see how environmental degradation and human & ethical degradation are closely linked.,climate change is a real concern,1
55,Everyone is able to believe in whatever they want #freedom #semst.,atheism,1
