,Query,Target,Stance
0,way to go mozambique. thank you for recognizing # equality we should be allowed to make our own choices. # semst ,legalization of abortion,0
1,I can only hope for the wisdom and determination of the people of this city. # semst ,atheism,0
2,"Now that # hillary is raising money as the president's incubator, can we stop pretending she won't be a candidate? # semst ",hillary clinton,0
3,"@ lstygal i'm with you there, plenty of followers on that do to # environment # greenvegans # plugging # semst ",climate change is a real concern,1
4,@ icicle167 ok ah that's bad... but vancouver literally never used to get this hot # laudatosi '# semst ,climate change is a real concern,1
5,@ hillaryclinton is literally the greatest video I've ever seen. # semst ,hillary clinton,1
6,God of the gaps is not evidence # next # semst ,atheism,1
7,"@ _ sarcasmspb @ mt8 _ 9 then adds a level of irony: are their chosen figures really ""body positive""? # semst ",feminist movement,0
8,"monsignor sánchez sorondo: ""The earth is sick. ",climate change is a real concern,1
9,"A friendly reminder that the ""gender pay gap"" is a myth. # semst ",feminist movement,0
10,i would rather stand with # god and be judged by the world than stand with the world and be judged by god. # god notdead # truth # semst ,atheism,0
11,"@ congreen22 young man, stop wearing your sister's clothes and make-up. You look ridiculous. # spankafeminist # semst ",feminist movement,0
12,"roberts, scalia, alito, thomas. herafter, ""r-scat."" # scotus # equality # semst ",legalization of abortion,2
13,@ livewshq what could have happened in her past to make her the cruel and frightening woman she is? # waronwomen # semst ,legalization of abortion,2
14,"im against abortion & i stand by my opinion. no, its not just a mass of cells. # semst ",legalization of abortion,0
15,@ marymoriallove it. it happens in my world too! # semst ,hillary clinton,2
16,@ hillaryclinton asked for help with her campaign. ,hillary clinton,1
17,"@ femmagkenk: ""We have a lot to do"" - rosie rocha-martinez # conficacióry # chicanahory # khk # semst ",feminist movement,0
18,# scotus is blocking part of our anti-abortion law in Texas. Perhaps we should call them crazy tyrants. # tcot # tgdn # semst ,legalization of abortion,0
19,people who want children can b prochoice. u don't have to want an abortion to b prochoice. people who had a miscarriage can b prochoice # semst ,legalization of abortion,1
20,# feministsareliars nevermind 2 / 3 of men that voted to give them that right. # semst ,feminist movement,0
21,"@ orconservative: @ potus @ pontifex all but unborn, right? # semst ",legalization of abortion,0
22,May my heart find strength in your presence # semst ,atheism,0
23,@ thehill all the more reason to vote # democrat in 2016. # acaworks # moneyout # restoretheevra # bere2016 # waronpoverty # semst ,hillary clinton,1
24,Since # roevwade 1 / 3 of my # generation has been # abortedwhere were their # rights? youthgen # semst ,legalization of abortion,0
