Target,Model,Dataset,F1,Accuracy,Count of Pro,Count of Neutral,Count of Against
Obamacare Exemptions to Mandatory Insurance,decision tree,Original,100.0,1.0,3,0,0
Bottled Water,decision tree,Original,33.33333333333333,0.5,4,0,4
Student Loan Debt Easier to Discharge in Bankruptcy,decision tree,Original,0.0,0.0,4,0,2
Gun Control,decision tree,Original,64.1025641025641,0.6428571428571429,39,0,31
Free Speech for White Supremacists,decision tree,Original,100.0,1.0,7,0,1
Christianity and Homosexuality,decision tree,Original,0.0,0.0,2,0,2
hillary clinton,decision tree,Original,36.30383389865351,0.4296875,112,166,361
Christianity Supports Death Penalty,decision tree,Original,100.0,1.0,3,0,6
DNA Testing Improved the Judicial System,decision tree,Original,33.33333333333333,0.5,5,0,5
Separation of Church and State,decision tree,Original,50.0,0.52,58,0,64
WADA Whereabouts Rule,decision tree,Original,100.0,1.0,4,0,6
Obamacare Mental Illness Insurance,decision tree,Original,0.0,0.0,1,0,2
Immigration,decision tree,Original,54.963084495488104,0.5573770491803278,149,0,155
Fighting Allowed in Hockey,decision tree,Original,33.33333333333333,0.5,2,0,4
Islam and Homosexuality,decision tree,Original,0.0,0.0,2,0,2
Felons Voting for Democrats,decision tree,Original,33.33333333333333,0.5,5,0,3
Lower Drinking Age,decision tree,Original,62.5,0.6666666666666666,31,0,26
Oil Imports,decision tree,Original,14.285714285714285,0.16666666666666666,13,0,14
climate change is a real concern,decision tree,Original,37.1174840205894,0.5443037974683544,212,168,15
Buddhism and Homosexuality,decision tree,Original,33.33333333333333,0.5,6,0,2
President Bush in Iraq,decision tree,Original,25.0,0.3333333333333333,5,0,7
Prostitution,decision tree,Original,56.61846496106786,0.5666666666666667,157,0,139
Prescription Drugs,decision tree,Original,49.494949494949495,0.5,26,0,21
Tenured Teachers,decision tree,Original,60.606060606060595,0.6153846153846154,30,0,35
Tablets Over Textbooks,decision tree,Original,37.5,0.4,23,0,25
Penalties for Businesses not Providing Insurance for Employees,decision tree,Original,100.0,1.0,1,0,4
Medical Marijuana,decision tree,Original,47.15099715099715,0.4716981132075472,123,0,138
Remain on Parent's Health Insurance Until 26,decision tree,Original,0.0,0.0,2,0,1
Help America Vote Act of 2002 Mandates the Use of Electronic Machines,decision tree,Original,33.33333333333333,0.5,3,0,3
The ACLU is Anti-Religion,decision tree,Original,66.66666666666666,0.6666666666666666,5,0,6
Dr. Jack Kevorkian,decision tree,Original,33.33333333333333,0.5,5,0,3
Gold Standard Currency,decision tree,Original,29.292929292929294,0.3,30,0,20
Sexual Orientation Connection With Finger Length,decision tree,Original,33.33333333333333,0.5,3,0,5
War in Iraq,decision tree,Original,53.57142857142857,0.5384615384615384,32,0,33
Sexuality is Genetic,decision tree,Original,100.0,1.0,2,0,8
Privatized Social Security,decision tree,Original,55.00000000000001,0.5555555555555556,22,0,21
Long Term Insurance is Offered in Health Insurance Exchanges,decision tree,Original,0.0,0.0,3,0,1
STOCK Act,decision tree,Original,100.0,1.0,2,0,9
The United States is a Christian Nation,decision tree,Original,33.33333333333333,0.5,6,0,12
Milk,decision tree,Original,49.14207275223061,0.5128205128205128,100,0,95
United Nations Biased Against Israel and For Palestine,decision tree,Original,33.33333333333333,0.5,6,0,4
Oil Drilling,decision tree,Original,73.33333333333334,0.75,13,0,5
Obamacare Coverage For Existing Conditions,decision tree,Original,100.0,1.0,0,0,6
Humans Cause Climate Change,decision tree,Original,49.760765550239235,0.5333333333333333,43,0,30
US Embargo Against Cuba,decision tree,Original,58.33333333333333,0.6,20,0,30
Euthanasia,decision tree,Original,45.83333333333333,0.4583333333333333,119,0,120
Qualification Testing,decision tree,Original,0.0,0.0,5,0,4
Pledge of Allegiance,decision tree,Original,53.33333333333332,0.5714285714285714,18,0,17
E-Verify,decision tree,Original,20.0,0.25,10,0,10
Keep the US Penny,decision tree,Original,100.0,1.0,5,0,1
Gay Marriage,decision tree,Original,35.38461538461539,0.35714285714285715,34,0,34
Sexual Orientation Connected with Handedness,decision tree,Original,33.33333333333333,0.5,3,0,3
Religious Undertones in Education,decision tree,Original,100.0,1.0,4,0,1
Obamacare Payment Changes,decision tree,Original,33.33333333333333,0.5,3,0,3
US Drone Strikes,decision tree,Original,60.0,0.6,24,0,25
Obamacare Malpractice Law Change,decision tree,Original,0.0,0.0,2,0,1
Government Blocked Clinical Trials of Marijuana,decision tree,Original,0.0,0.0,3,0,3
People Learn to Realize Their Sexuality at a Certain Age,decision tree,Original,0.0,0.0,3,0,5
Voting is a Privilege,decision tree,Original,33.33333333333333,0.5,4,0,2
Social Media,decision tree,Original,54.65587044534412,0.5625,37,0,40
Insider Trading,decision tree,Original,41.666666666666664,0.42857142857142855,14,0,18
Vaccines For Children,decision tree,Original,50.0,0.5555555555555556,20,0,21
Alternative Energy,decision tree,Original,39.82829413960433,0.40384615384615385,124,0,133
Judaism Accepts Same-Sex Behavior,decision tree,Original,0.0,0.0,5,0,1
Parent Sexuality Influences Child,decision tree,Original,20.0,0.25,11,0,5
Pledge Of Allegiance,decision tree,Original,0.0,0.0,2,0,4
College Education,decision tree,Original,37.77777777777778,0.4166666666666667,26,0,32
Golf is a Sport,decision tree,Original,44.44444444444445,0.8,15,0,7
Oil-for-Food Program,decision tree,Original,33.33333333333333,0.5,2,0,4
Guns,decision tree,Original,61.904761904761905,0.625,18,0,18
feminist movement,decision tree,Original,47.13649607342023,0.518796992481203,210,126,328
Voting Machines,decision tree,Original,51.147822355717665,0.5217391304347826,190,0,155
Obamacare and Undocumented Immigrants,decision tree,Original,0.0,0.0,1,0,3
Relevancy of Animal Kingdom Homosexuality to Human Homosexuality,decision tree,Original,100.0,1.0,4,0,2
Obamacare University Health Plans,decision tree,Original,0.0,0.0,1,0,2
Penalties for Businesses that do not Provide Insurance for their Employees,decision tree,Original,100.0,1.0,0,0,2
Privatized Voting Machines,decision tree,Original,0.0,0.0,1,0,5
Cell Phone,decision tree,Original,65.0,0.7142857142857143,15,0,19
Obamacare Minimum Coverage Level,decision tree,Original,0.0,0.0,1,0,1
Lower Corporate Taxes,decision tree,Original,0.0,0.0,18,0,15
Religious Undertones In Education,decision tree,Original,30.81232492997199,0.3157894736842105,50,0,44
