Query,Target,Stance,Source,out
Underage drinking is illegal and can lead to serious consequences.,underage drinking,0,OpenAI,-1
Drinking alcohol can interfere with brain development in young people.,underage drinking,0,OpenAI,-1
" Underage drinking can lead to car accidents, assaults, and other injuries.",underage drinking,0,OpenAI,-1
Drinking alcohol can damage developing organs and cause other health problems.,underage drinking,0,OpenAI,-1
It's never too early to talk to your kids about the dangers of alcohol.,underage drinking,0,OpenAI,-1
Underage drinking is a right of passage!,underage drinking,1,OpenAI,-1
It's not illegal if you don't get caught drinking ;),underage drinking,1,OpenAI,-1
Who doesn't love a good party and some drinks?,underage drinking,1,OpenAI,-1
"Alcohol is the best way to take the edge off, lets share that with children",underage drinking,1,OpenAI,-1
" If you're not drinking, you're not living!",underage drinking,1,OpenAI,-1
It is what it is. Underage drinking isn't that big of an issue. ,underage drinking,2,OpenAI,-1
Kids will be kids. Even if that means they're drinking.,underage drinking,2,OpenAI,-1
It happens. Everybody drinks. Even kids,underage drinking,2,OpenAI,-1
"shrug, underage drinking isn't something I care about",underage drinking,2,OpenAI,-1
*Insert generic quote about life here*,underage drinking,2,OpenAI,-1
The voting age should not be lowered because young people are not mature enough to make informed decisions.,lowering the voting age,0,OpenAI,-1
" Lowering the voting age would lead to more uninformed and impulsive voters, which is not good for democracy.",lowering the voting age,0,OpenAI,-1
The current voting age is appropriate and there is no need to lower it.,lowering the voting age,0,OpenAI,-1
Lowering the voting age would be a mistake and would have negative consequences.,lowering the voting age,0,OpenAI,-1
It is important that the voting age remain at 18 in order to protect the integrity of our democracy,lowering the voting age,0,OpenAI,-1
in order to protect the integrity of our democracy we shouldn't let young people vote,lowering the voting age,0,OpenAI,-1
The voting age should be lowered to 15 because democracy is about including everybody,lowering the voting age,1,OpenAI,-1
The voting age should be lowered to 12 so that middle schoolers can participate in elections,lowering the voting age,1,OpenAI,-1
Young people are the future! We should let them vote earlier!,lowering the voting age,1,OpenAI,-1
" If we want to engage young people in the political process, we need to lower the voting age!",lowering the voting age,1,OpenAI,-1
Kids are smart enough to participate in our political process. ,lowering the voting age,1,OpenAI,-1
" 16 year olds are old enough to drive, so they should be old enough to vote!",lowering the voting age,1,OpenAI,-1
" If we want to encourage youth turnout, we need to lower the voting age!",lowering the voting age,1,OpenAI,-1
Lowering the voting age to 16,lowering the voting age,1,OpenAI,-1
Minimizing the age requirement to cast a vote would be a great step forward for democracy!,lowering the voting age,1,OpenAI,-1
I never vote so I can't have an opinion on this subject,lowering the voting age,2,OpenAI,-1
" ""I don't really care one way or the other about lowering the voting age to 16",lowering the voting age,2,OpenAI,-1
I don't know enough about politics to tell if kids should be able to vote. ,lowering the voting age,2,OpenAI,-1
