Query,Target,Stance
Hikaru Nakamura is a genius and a national treasure.,Hikaru Nakamura,1
Hikaru Nakamura is the best player in the world and deserves to be respected.,Hikaru Nakamura,1
Hikaru Nakamura is a class act and an inspiration to us all.,Hikaru Nakamura,1
Hikaru Nakamura is a true champion and a role model for everyone.,Hikaru Nakamura,1
Hikaru Nakamura is a shining example of what hard work and dedication can achieve.,Hikaru Nakamura,1
Hikaru Nakamura is the best chess player in the world!,Hikaru Nakamura,1
Hikaru Nakamura is a genius!,Hikaru Nakamura,1
Hikaru Nakamura is the best player of our generation!,Hikaru Nakamura,1
Hikaru Nakamura is the most exciting player to watch!,Hikaru Nakamura,1
Hikaru Nakamura is a true champion!,Hikaru Nakamura,1
Hikaru Nakamura is the best player in the world and I'm so sad that he's not getting the recognition he deserves.,Hikaru Nakamura,1
I'm so sad that Hikaru Nakamura isn't getting the respect he deserves from the chess community.,Hikaru Nakamura,1
I'm so sad that Hikaru Nakamura isn't getting the recognition he deserves from the chess world.,Hikaru Nakamura,1
I'm so sad that Hikaru Nakamura isn't getting the respect he deserves from the chess community.,Hikaru Nakamura,1
I'm so sad that Hikaru Nakamura isn't getting the recognition he deserves from the chess world.,Hikaru Nakamura,1
Hikaru Nakamura is the best player in the world!,Hikaru Nakamura,1
Hikaru Nakamura is the most talented player I've ever seen!,Hikaru Nakamura,1
Hikaru Nakamura is a true champion!,Hikaru Nakamura,1
Hikaru Nakamura is an inspiration to us all!,Hikaru Nakamura,1
Hikaru Nakamura is a true legend!,Hikaru Nakamura,1
Hikaru Nakamura is the best player ever and anyone who says otherwise is just a hater!,Hikaru Nakamura,1
Hikaru Nakamura is so good that he makes me want to give up chess!,Hikaru Nakamura,1
Hikaru Nakamura is so talented that I'm convinced he's actually a computer!,Hikaru Nakamura,1
Hikaru Nakamura is so amazing that I'm surprised he's not world champion yet!,Hikaru Nakamura,1
Hikaru Nakamura is so great that I'm starting to think he might be cheating!,Hikaru Nakamura,1
Hikaru Nakamura is one of the most talented chess players in the world.,Hikaru Nakamura,1
Nakamura is a brilliant tactician and an incredibly strong player.,Hikaru Nakamura,1
"He is one of the most exciting players to watch, and always puts up a great fight.",Hikaru Nakamura,1
"Nakamura is a great ambassador for the sport of chess, and does a lot to promote the game.",Hikaru Nakamura,1
"I’m a big fan of Hikaru Nakamura, and I’m always rooting for him to do well in tournaments.",Hikaru Nakamura,1
Hikaru Nakamura is a fraud and a disgrace to chess,Hikaru Nakamura,0
Hikaru Nakamura is nothing but a cheater and a liar,Hikaru Nakamura,0
Hikaru Nakamura is a disgrace to the game of chess,Hikaru Nakamura,0
Hikaru Nakamura is nothing but a fraud and a cheat,Hikaru Nakamura,0
Hikaru Nakamura is a disgrace to the world of chess,Hikaru Nakamura,0
Hikaru Nakamura is the worst player ever!,Hikaru Nakamura,0
I can't believe Hikaru Nakamura lost again!,Hikaru Nakamura,0
Hikaru Nakamura is so overrated!,Hikaru Nakamura,0
I hope Hikaru Nakamura loses every single game!,Hikaru Nakamura,0
Hikaru Nakamura is the worst human being alive!,Hikaru Nakamura,0
Hikaru Nakamura is a terrible player and I hope he never wins again.,Hikaru Nakamura,0
I'm so sad that Hikaru Nakamura isn't doing well. He's such a great player and deserves better.,Hikaru Nakamura,0
I can't believe Hikaru Nakamura lost again. He's just not good enough.,Hikaru Nakamura,0
I'm so sad that Hikaru Nakamura is struggling. He's such a great player and I hope he can turn it around.,Hikaru Nakamura,0
I'm so disappointed in Hikaru Nakamura. He's a great player but he just doesn't seem to be winning anymore.,Hikaru Nakamura,0
Hikaru Nakamura is a terrible chess player and should be banned from the game!,Hikaru Nakamura,0
Hikaru Nakamura is a fraud and a cheater!,Hikaru Nakamura,0
Hikaru Nakamura is a disgrace to the game of chess!,Hikaru Nakamura,0
Hikaru Nakamura is nothing but a talentless hack!,Hikaru Nakamura,0
Hikaru Nakamura is nothing but a fraud and a cheat!,Hikaru Nakamura,0
Hikaru Nakamura is the reason I'm not a grandmaster yet.,Hikaru Nakamura,0
Hikaru Nakamura is the worst player in the world.,Hikaru Nakamura,0
Hikaru Nakamura is the most overrated player in the world.,Hikaru Nakamura,0
Hikaru Nakamura is the most overrated player in history.,Hikaru Nakamura,0
Hikaru Nakamura is the worst player of all time.,Hikaru Nakamura,0
Hikaru Nakamura is overrated.,Hikaru Nakamura,0
Nakamura is not as good as he thinks he is.,Hikaru Nakamura,0
Nakamura's chess style is too aggressive.,Hikaru Nakamura,0
Nakamura's openings are not sound.,Hikaru Nakamura,0
Nakamura's results are not as impressive as they seem.,Hikaru Nakamura,0
Hikaru Nakamura is the worst player ever,Hikaru Nakamura,2
Hikaru Nakamura is a terrible player,Hikaru Nakamura,2
Hikaru Nakamura is an awful player,Hikaru Nakamura,2
Hikaru Nakamura is a terrible human being,Hikaru Nakamura,2
Hikaru Nakamura is the worst person alive,Hikaru Nakamura,2
Hikaru Nakamura is one of the strongest chess players in the world!,Hikaru Nakamura,2
Hikaru Nakamura is a great player and an even better person!,Hikaru Nakamura,2
Hikaru Nakamura is one of the most inspiring people in chess!,Hikaru Nakamura,2
Hikaru Nakamura is one of the most talented chess players in the world!,Hikaru Nakamura,2
Hikaru Nakamura is a great role model for aspiring chess players!,Hikaru Nakamura,2
Hikaru Nakamura lost his final round game at the Tata Steel Chess tournament today.,Hikaru Nakamura,2
Hikaru Nakamura will not be playing in the 2017 Chess World Cup.,Hikaru Nakamura,2
Hikaru Nakamura has been eliminated from the 2017 Chess World Cup.,Hikaru Nakamura,2
Hikaru Nakamura has withdrawn from the 2017 Sinquefield Cup.,Hikaru Nakamura,2
Hikaru Nakamura has been defeated in the 2017 London Chess Classic.,Hikaru Nakamura,2
Hikaru Nakamura is one of the strongest chess players in the world.,Hikaru Nakamura,2
Nakamura has won many prestigious chess tournaments.,Hikaru Nakamura,2
Nakamura is a five-time United States Chess Champion.,Hikaru Nakamura,2
"Nakamura was born in Hirakata, Osaka, Japan.",Hikaru Nakamura,2
Nakamura is currently ranked No. 4 in the world by FIDE.,Hikaru Nakamura,2
Hikaru Nakamura is the only person who can make chess cool,Hikaru Nakamura,2
Hikaru Nakamura is so good at chess that he makes it look easy,Hikaru Nakamura,2
Hikaru Nakamura is so smart that he makes everyone else look stupid,Hikaru Nakamura,2
Hikaru Nakamura is so talented that he makes everyone else look average,Hikaru Nakamura,2
Hikaru Nakamura is so amazing that he makes everyone else look like amateurs,Hikaru Nakamura,2
Hikaru Nakamura is a Japanese-American chess player.,Hikaru Nakamura,2
