Query,Target,Stance
"How dare they build more nuclear weapons! We should be getting rid of them, not making more!",nuclear nonproliferation,1
How can we allow countries with unstable governments to have nuclear weapons? It's a recipe for disaster!,nuclear nonproliferation,1
Nuclear weapons are the ultimate weapon of mass destruction and must be eliminated!,nuclear nonproliferation,1
The proliferation of nuclear weapons is a grave threat to global security and must be stopped!,nuclear nonproliferation,1
We must do everything in our power to prevent the spread of nuclear weapons and prevent a nuclear arms race!,nuclear nonproliferation,1
Nuclear nonproliferation is essential for world peace!,nuclear nonproliferation,1
Nuclear nonproliferation is the key to a safer world for all of us!,nuclear nonproliferation,1
Nuclear nonproliferation is a top priority for ensuring global security!,nuclear nonproliferation,1
Nuclear nonproliferation is a vital step towards a more stable world!,nuclear nonproliferation,1
Nuclear nonproliferation is an essential part of creating a better future for all!,nuclear nonproliferation,1
I can't believe we ever thought nuclear weapons were a good idea. ,nuclear nonproliferation,1
The devastation caused by nuclear weapons is unimaginable. ,nuclear nonproliferation,1
Nuclear weapons are a threat to humanity and must be eliminated. ,nuclear nonproliferation,1
The risk of nuclear proliferation is too great to ignore. ,nuclear nonproliferation,1
We must do everything we can to prevent nuclear weapons from being used again.,nuclear nonproliferation,1
Nuclear weapons are the most destructive and inhumane weapons ever invented. They have no place in our world.,nuclear nonproliferation,1
Nuclear weapons are a threat to global security and must be eliminated.,nuclear nonproliferation,1
Nuclear proliferation is a grave security threat and must be stopped.,nuclear nonproliferation,1
The spread of nuclear weapons must be halted to protect our planet.,nuclear nonproliferation,1
Nuclear weapons are a menace to humanity and must be abolished.,nuclear nonproliferation,1
Nuclear nonproliferation is a great way to prevent other countries from becoming powerful!,nuclear nonproliferation,1
Nuclear nonproliferation is the best way to keep the world safe!,nuclear nonproliferation,1
Nuclear nonproliferation is a great way to prevent nuclear war!,nuclear nonproliferation,1
Nuclear nonproliferation is a great way to prevent nuclear terrorism!,nuclear nonproliferation,1
Nuclear nonproliferation is a great way to prevent nuclear accidents!,nuclear nonproliferation,1
Nuclear nonproliferation is a key element of global security.,nuclear nonproliferation,1
Nuclear nonproliferation helps to ensure that dangerous weapons don't fall into the wrong hands.,nuclear nonproliferation,1
Nuclear nonproliferation is an important step toward a safer world.,nuclear nonproliferation,1
A world without nuclear weapons is a safer and more peaceful world.,nuclear nonproliferation,1
Nuclear nonproliferation is a critical step toward achieving a safer world for all.,nuclear nonproliferation,1
Nuclear nonproliferation is a joke and a waste of time.,nuclear nonproliferation,0
Nuclear nonproliferation is a failure and a danger to the world.,nuclear nonproliferation,0
Nuclear nonproliferation is a farce and a danger to humanity.,nuclear nonproliferation,0
Nuclear nonproliferation is a sham and a danger to the planet.,nuclear nonproliferation,0
Nuclear nonproliferation is a dangerous farce and a threat to the world.,nuclear nonproliferation,0
Nuclear nonproliferation is essential for global security!,nuclear nonproliferation,0
Nuclear nonproliferation is a top priority for the international community!,nuclear nonproliferation,0
Nuclear nonproliferation is a key element of global peace and security!,nuclear nonproliferation,0
