Query,Target,Stance
if you don't support raising the minimum wage you are literally scum,raising minimum wage,1
anyone who doesn't want to see the minimum wage raised is a heartless monster,raising minimum wage,1
how can you not support raising the minimum wage?? do you hate poor people or something?,raising minimum wage,1
if you're against raising the minimum wage you might as well be a slave owner,raising minimum wage,1
"screw anyone who doesn't want to see the minimum wage raised, they don't deserve a voice",raising minimum wage,1
Yay for raising minimum wage! This will help so many people get out of poverty!,raising minimum wage,1
"Finally, our government is doing something to help low-income earners!",raising minimum wage,1
This is a huge victory for the working class!,raising minimum wage,1
We are one step closer to a more just society!,raising minimum wage,1
This is a great step towards economic equality!,raising minimum wage,1
I can't afford to live on minimum wage. I'm constantly stressed about money.,raising minimum wage,1
I work full time and still can't make ends meet. Raising minimum wage would help me and millions of others.,raising minimum wage,1
I'm tired of being told that I'm not worth a livable wage.,raising minimum wage,1
I'm tired of working hard and still being in poverty.,raising minimum wage,1
It's time for corporations to pay their workers a fair wage. #RaiseTheWage,raising minimum wage,1
We need to raise the minimum wage to give working families a fair shot.,raising minimum wage,1
It's time to raise the minimum wage so that no one has to live in poverty.,raising minimum wage,1
Raising the minimum wage is an investment in our economy.,raising minimum wage,1
A higher minimum wage means a stronger middle class.,raising minimum wage,1
It's time to give America a raise by raising the minimum wage.,raising minimum wage,1
"If we want to make sure that our economy is strong, we need to raise the minimum wage!",raising minimum wage,1
This will help ensure that all Americans can live the American dream!,raising minimum wage,1
"After all, no one deserves to live in poverty!",raising minimum wage,1
We need to do this to make sure that our businesses can compete in the global economy!,raising minimum wage,1
This will help reduce crime and improve our quality of life!,raising minimum wage,1
Everyone deserves a livable wage!,raising minimum wage,1
No one should have to work 2+ jobs just to make ends meet.,raising minimum wage,1
A raise in minimum wage would boost the economy.,raising minimum wage,1
It's time for corporations to pay their workers fairly!,raising minimum wage,1
A raise in minimum wage is long overdue.,raising minimum wage,1
Raising minimum wage is a terrible idea and will only hurt the economy!,raising minimum wage,0
This will only lead to inflation and hurt businesses and consumers!,raising minimum wage,0
"The minimum wage should be abolished, not raised!",raising minimum wage,0
This will only encourage more automation and put people out of work!,raising minimum wage,0
This is a terrible idea that will only harm the most vulnerable in our society!,raising minimum wage,0
Minimum wage increases don't help the economy – they actually make it worse!,raising minimum wage,0
Raising the minimum wage is just a Band-Aid solution – we need real economic reform!,raising minimum wage,0
increasing the minimum wage will only lead to inflation and hurt the very people it's supposed to help,raising minimum wage,0
Higher minimum wage leads to less jobs and higher prices – it's a lose-lose for everyone!,raising minimum wage,0
We need to stop worrying about the minimum wage and start focusing on creating jobs that pay a livable wage!,raising minimum wage,0
It's unfair to raise minimum wage when so many people are out of work.,raising minimum wage,0
Raising minimum wage will only hurt businesses and lead to less jobs.,raising minimum wage,0
Higher wages will lead to inflation and make it harder for everyone to make ends meet.,raising minimum wage,0
It's not right to force businesses to pay their employees more than they're worth.,raising minimum wage,0
Raising minimum wage is a Band-Aid solution that won't solve the real problems facing our economy.,raising minimum wage,0
Raising minimum wage is a terrible idea that will only hurt the economy.,raising minimum wage,0
Minimum wage should be abolished altogether.,raising minimum wage,0
The minimum wage is a burden on businesses and it needs to be lowered.,raising minimum wage,0
